<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20190917,000000,235.2200000,237.2000000,233.9900000,235.8900000,55730800
SBER,D,20190918,000000,235.7100000,236.4500000,234.4500000,235.3000000,25586000
SBER,D,20190919,000000,234.8600000,235.4900000,233.1200000,234.9800000,39418060
SBER,D,20190920,000000,234.9800000,235.5000000,230.7200000,232.0000000,40550620
SBER,D,20190923,000000,231.7100000,232.1700000,229.0500000,229.7000000,28163380
SBER,D,20190924,000000,229.9500000,231.9900000,227.1100000,227.5000000,43394690
SBER,D,20190925,000000,226.5000000,228.3000000,225.3000000,228.0900000,37893030
SBER,D,20190926,000000,228.2300000,230.9000000,227.7100000,229.0900000,32718120
SBER,D,20190927,000000,229.2000000,229.9600000,228.0500000,228.0500000,18019780
SBER,D,20190930,000000,228.5700000,229.0000000,226.0500000,227.7100000,30218260
SBER,D,20191001,000000,227.6100000,229.5600000,226.4900000,226.4900000,29831350
SBER,D,20191002,000000,226.0500000,226.6300000,223.0300000,223.5000000,42412900
SBER,D,20191003,000000,223.5900000,225.6400000,222.6100000,224.0800000,38355010
SBER,D,20191004,000000,224.9000000,226.0600000,221.8700000,222.7600000,32106750
SBER,D,20191007,000000,223.1700000,227.8000000,222.4100000,227.5500000,40102200
SBER,D,20191008,000000,227.7500000,228.1800000,225.1500000,226.0300000,30959840
SBER,D,20191009,000000,226.0300000,229.0000000,225.5200000,227.7000000,39702090
SBER,D,20191010,000000,227.7000000,228.9400000,225.6200000,228.5000000,31708420
SBER,D,20191011,000000,229.5000000,231.2000000,228.9700000,230.3100000,37412420
SBER,D,20191014,000000,230.2900000,230.6700000,227.8200000,228.4000000,34582240
SBER,D,20191015,000000,228.6000000,229.8800000,227.0000000,229.4000000,30721760
SBER,D,20191016,000000,229.1000000,231.2000000,229.1000000,231.0000000,39205260
SBER,D,20191017,000000,230.7400000,233.5000000,230.5200000,233.5000000,45971100
SBER,D,20191018,000000,233.2100000,236.0300000,232.8000000,235.5500000,42706040
SBER,D,20191021,000000,236.0200000,236.8800000,234.0400000,234.9400000,28395030
SBER,D,20191022,000000,235.0200000,239.7700000,235.0000000,239.7700000,40288490
SBER,D,20191023,000000,239.2000000,240.1800000,237.7600000,239.5700000,34578200
SBER,D,20191024,000000,239.6300000,242.7800000,239.0600000,242.7800000,40358060
SBER,D,20191025,000000,242.5500000,242.7700000,237.8500000,240.0000000,49759850
SBER,D,20191028,000000,240.5100000,242.3300000,235.2500000,237.0300000,39033330
SBER,D,20191029,000000,237.1000000,240.2000000,236.0000000,240.1100000,41488880
SBER,D,20191030,000000,239.6900000,242.2000000,237.8500000,239.5100000,43559920
SBER,D,20191031,000000,240.7200000,242.0000000,234.0100000,234.8900000,60238840
SBER,D,20191101,000000,235.3500000,236.7400000,232.8000000,236.4000000,39183190
SBER,D,20191105,000000,239.6000000,240.9800000,236.7000000,238.5300000,43257820
